longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41,880,129,322,126,8.3252,452600
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500
-122.24,37.85,52,1467,190,496,177,7.2574,352100
-122.25,37.85,52,1274,235,558,219,5.6431,341300
-122.25,37.85,52,1627,280,565,259,3.8462,342200
-122.25,37.85,52,919,213,413,193,4.0368,269700
-122.25,37.84,52,2535,489,1094,514,3.6591,299200
-122.25,37.84,52,3104,687,1157,647,3.12,241400
-122.26,37.84,42,2555,665,1206,595,2.0804,226700
-122.25,37.84,52,3549,707,1551,714,3.6912,261100
-122.26,37.85,52,2202,434,910,402,3.2031,281500
-122.26,37.85,52,3503,752,1504,734,3.2705,241800
-122.26,37.85,52,2491,474,1098,468,3.075,213500
-122.26,37.84,52,696,191,345,174,2.6736,191300
-122.26,37.85,52,2643,626,1212,620,1.9167,159200
-122.26,37.85,50,1120,283,697,264,2.125,140000
-122.27,37.85,52,1966,347,793,331,2.775,152500
-122.27,37.85,52,1228,293,648,303,2.1202,155500
-122.26,37.84,50,2239,455,990,419,1.9911,158700
-122.27,37.84,52,1503,298,690,275,2.6033,162900
-122.27,37.85,40,751,184,409,166,1.3578,147500
-122.27,37.85,42,1639,367,929,366,1.7135,159800
-122.27,37.84,52,2436,541,1015,478,1.725,113900
-122.27,37.84,52,1688,337,853,325,2.1806,99700
-122.27,37.84,52,2224,437,1006,422,2.6,132600
-122.28,37.85,41,535,123,317,119,2.4038,107500
-122.28,37.85,49,1130,244,607,239,2.4597,93800
-122.28,37.85,52,1898,421,1102,397,1.808,105500
-122.28,37.84,50,2082,492,1131,473,1.6424,108900
-122.28,37.84,52,729,160,395,155,1.6875,132000
-122.28,37.84,49,1916,447,863,378,1.9274,122300
-122.28,37.84,52,2153,481,1168,441,1.9615,115200
-122.27,37.84,48,1922,409,1026,335,1.7969,110400
-122.27,37.83,49,1655,366,754,329,1.375,104900
-122.27,37.83,51,2665,574,1258,536,2.7303,109700
-122.27,37.83,49,1215,282,570,264,1.4861,97200
-122.27,37.83,48,1798,432,987,374,1.0972,104500
-122.28,37.83,52,1511,390,901,403,1.4103,103900
-122.26,37.83,52,1470,330,689,309,3.48,191400
-122.26,37.83,52,2432,715,1377,696,2.5898,176000
-122.26,37.83,52,1665,419,946,395,2.0978,155400
-122.26,37.83,51,936,311,517,249,1.2852,150000
-122.26,37.84,49,713,202,462,189,1.025,118800
-122.26,37.84,52,950,202,467,198,3.9643,188800
-122.26,37.83,52,1443,311,660,292,3.0125,184400
-122.26,37.83,52,1656,420,718,382,2.6768,182300
-122.26,37.83,50,1125,322,616,304,2.026,142500
-122.27,37.82,43,1007,312,558,253,1.7348,137500
-122.26,37.82,40,624,195,423,160,0.9506,187500
-122.27,37.82,40,946,375,700,352,1.775,112500
-122.27,37.82,21,896,453,735,438,0.9218,171900
-122.27,37.82,43,1868,456,1061,407,1.5045,93800
-122.27,37.82,41,3221,853,1959,720,1.1108,97500
-122.27,37.82,52,1630,456,1162,400,1.2475,104200
-122.28,37.82,52,1170,235,701,233,1.6098,87500
-122.28,37.82,52,945,243,576,220,1.4113,83100
-122.28,37.82,52,1238,288,622,259,1.5057,87500
-122.28,37.82,52,1489,335,728,244,0.8172,85300
-122.28,37.82,52,1387,341,1074,304,1.2171,80300
-122.29,37.82,2,158,43,94,57,2.5625,60000
-122.29,37.83,52,1121,211,554,187,3.3929,75700
-122.29,37.82,49,135,29,86,23,6.1183,75000
-122.29,37.81,50,760,190,377,122,0.9011,86100
-122.3,37.81,52,1224,237,521,159,1.191,76100
-122.3,37.81,48,828,182,392,133,2.5938,73500
-122.3,37.81,52,1010,209,604,187,1.1667,78400
-122.3,37.81,48,1455,354,788,332,0.8056,84400
-122.29,37.8,52,1027,244,492,147,2.6094,81300
-122.3,37.81,52,572,109,274,82,1.8516,85000
-122.29,37.81,46,2801,644,1823,611,0.9802,129200
-122.29,37.81,26,768,152,392,127,1.7719,82500
-122.29,37.81,46,935,297,582,277,0.7286,95200
-122.29,37.81,49,844,204,560,152,1.75,75000
-122.29,37.81,46,12,4,18,7,0.4999,67500
-122.29,37.81,20,835,161,290,133,2.483,137500
-122.28,37.81,17,1237,462,762,439,0.9241,177500
-122.28,37.81,36,2914,562,1236,509,2.4464,102100
-122.28,37.81,19,1207,243,721,207,1.1111,108300
-122.29,37.81,23,1745,374,1054,325,0.8026,112500
-122.28,37.8,38,684,176,344,155,2.0114,131300
-122.28,37.81,17,924,289,609,289,1.5,162500
-122.27,37.81,52,210,56,183,56,1.1667,112500
-122.28,37.81,52,340,97,200,87,1.5208,112500
-122.28,37.81,52,386,164,346,155,0.8075,137500
-122.28,37.81,35,948,184,467,169,1.8088,118800
-122.28,37.81,52,773,143,377,115,2.4083,98200
-122.27,37.81,40,880,451,582,380,0.977,118800
-122.27,37.81,10,875,348,546,330,0.76,162500
-122.27,37.8,10,105,42,125,39,0.9722,137500
-122.27,37.8,52,249,78,396,85,1.2434,500001
-122.27,37.8,16,994,392,800,362,2.0938,162500
-122.28,37.8,52,215,87,904,88,0.8668,137500
-122.28,37.8,52,96,31,191,34,0.75,162500
-122.27,37.79,27,1055,347,718,302,2.6354,187500
-122.27,37.8,39,1715,623,1327,467,1.8477,179200
-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000
-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800
-122.26,37.81,29,335,107,202,91,2.0062,125000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800
-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400
-122.25,37.81,39,854,242,389,228,3.125,237500
-122.25,37.81,52,2155,701,895,613,2.5795,350000
-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700
-122.24,37.82,52,1509,225,674,244,4.9306,313400
-122.24,37.81,52,2026,482,709,456,3.2727,268500
-122.25,37.81,52,1758,460,686,422,3.1691,259400
-122.24,37.82,52,3481,751,1444,718,3.9,275700
-122.25,37.82,28,3337,855,1520,802,3.9063,225000
-122.25,37.82,52,1424,289,550,253,5.0917,262500
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000
-122.25,37.83,52,2376,559,939,519,3.1484,224100
-122.25,37.83,35,1613,428,675,422,3.4722,243100
-122.25,37.83,52,1279,287,534,291,3.1429,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500
-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100
-122.23,37.84,50,2515,399,970,373,5.8596,327600
-122.23,37.84,47,3175,454,1098,485,5.2868,347600
-122.24,37.83,41,2576,406,794,376,5.956,366100
-122.24,37.85,37,334,54,98,47,4.9643,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,389500
-122.24,37.85,52,2612,365,901,367,7.2354,391100
-122.22,37.85,28,5287,1048,2031,956,5.457,337300
-122.22,37.84,50,2935,473,1031,479,7.5,295200
-122.21,37.84,44,3424,597,1358,597,6.0194,292300
-122.21,37.83,40,4991,674,1616,654,7.5544,411500
-122.2,37.84,30,2211,346,844,343,6.0666,311500
-122.21,37.84,34,3038,490,1140,496,7.0548,325900
-122.19,37.84,18,1617,210,533,194,11.6017,392600
-122.2,37.84,35,2865,460,1072,443,7.4882,319300
-122.21,37.83,34,5065,788,1627,766,6.8976,333300
-122.19,37.83,28,1326,184,463,190,8.2049,335200
-122.2,37.83,26,1589,223,542,211,8.401,351200
-122.19,37.83,29,1791,271,661,269,6.8538,368900
-122.19,37.82,32,1835,264,635,263,8.317,365900
-122.2,37.82,37,1229,181,420,176,7.0175,366700
-122.2,37.82,39,3770,534,1265,500,6.3302,362800
-122.18,37.81,30,292,38,126,52,6.3624,483300
-122.21,37.82,52,2375,333,813,350,7.0549,331400
-122.2,37.81,45,2964,436,1067,426,6.7851,323500
-122.21,37.8,50,2833,605,1260,552,2.8929,216700
-122.21,37.8,38,2254,535,951,487,3.0812,233100
-122.21,37.81,52,1389,212,510,224,5.2402,296400
-122.22,37.81,52,1971,335,765,308,6.5217,273700
-122.22,37.8,52,2183,465,1129,460,3.2632,227700
-122.22,37.8,52,2286,464,1073,441,3.0298,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,239800
-122.22,37.81,52,2024,339,756,340,4.072,270100
-122.22,37.81,52,2944,536,1034,521,5.3509,302100
-122.23,37.8,52,2033,486,787,459,3.1603,269500
-122.23,37.81,52,1433,229,612,213,4.7708,314700
-122.22,37.81,52,2927,402,1021,380,8.1564,390100
-122.23,37.81,52,2315,292,861,258,8.8793,410300
-122.24,37.81,52,2485,313,953,327,6.8591,352400
-122.24,37.81,52,1490,238,634,256,6.0302,287300
-122.23,37.81,52,2814,365,878,352,7.508,348700
-122.24,37.81,52,2093,550,918,483,2.7477,243800
-122.24,37.8,52,888,168,360,175,2.1944,211500
-122.25,37.8,52,2087,510,1197,488,3.0149,218400
-122.24,37.81,52,2513,502,1048,518,3.675,269900
-122.25,37.81,46,3232,835,1373,747,3.225,218800
-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000
-122.25,37.8,43,2364,792,1359,722,2.1429,250000
-122.25,37.8,41,1471,469,1062,413,1.6121,171400
-122.25,37.8,29,2468,864,1335,773,1.3929,193800
-122.24,37.79,27,1632,492,1171,429,2.3173,125000
-122.25,37.79,45,1786,526,1475,460,1.7772,97500
-122.25,37.79,50,629,188,742,196,2.6458,125000
-122.25,37.79,52,1339,391,1086,363,2.181,138800
-122.25,37.8,36,1678,606,1645,543,2.2303,116700
-122.25,37.8,43,2344,647,1710,644,1.6504,151800
-122.24,37.8,52,996,228,731,228,2.2697,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,128600
-122.24,37.8,52,1586,398,1006,335,2.1348,140600
-122.24,37.8,47,2046,588,1213,554,2.6292,182700
-122.23,37.8,52,1192,289,772,257,2.3833,146900
-122.24,37.8,52,1803,420,1321,401,2.957,122800
-122.24,37.8,49,2838,749,1487,677,2.5238,169300
-122.23,37.8,52,783,184,488,186,1.9375,126600
-122.23,37.8,51,1590,414,949,392,1.9028,127900
-122.23,37.8,50,1746,480,1149,415,2.25,123500
-122.23,37.8,52,1252,299,844,280,2.3929,111900
-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800
-122.23,37.79,52,1783,395,1659,412,2.9357,107900
-122.23,37.79,30,999,264,1011,263,1.8854,137500
-122.24,37.79,39,1469,431,1464,389,2.1638,105500
-122.24,37.79,47,1372,395,1237,303,2.125,95500
-122.24,37.79,52,674,180,647,168,3.375,116100
-122.24,37.79,43,1626,376,1284,357,2.2542,112200
-122.25,37.79,51,175,43,228,55,2.1,75000
-122.25,37.79,39,461,129,381,123,1.6,112500
-122.25,37.79,52,902,237,846,227,3.625,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,115000
-122.22,37.77,52,391,128,520,138,1.6471,95000
-122.22,37.77,52,1137,301,866,259,2.59,96400
-122.23,37.77,52,769,206,612,183,2.57,72000
-122.23,37.78,52,472,146,415,126,2.6429,71300
-122.23,37.78,52,862,215,994,213,3.0257,80800
-122.22,37.78,50,1920,530,1525,477,1.4886,128800
-122.23,37.78,43,1420,472,1506,438,1.9338,112500
-122.23,37.78,52,986,258,1008,255,1.4844,119400
-122.23,37.78,44,2340,825,2813,751,1.6009,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,122500
-122.23,37.79,49,1175,217,859,219,2.293,106300
-122.22,37.79,37,2343,574,1608,523,2.1494,132500
-122.23,37.79,30,610,145,425,140,1.6198,122700
-122.23,37.79,40,930,199,564,184,1.3281,113300
-122.22,37.79,44,1487,314,961,272,3.5156,109500
-122.22,37.79,52,3424,690,2273,685,3.9048,164700
-122.21,37.79,52,762,190,600,195,3.0893,125000
-122.22,37.79,46,2366,575,1647,527,2.6042,124700
-122.22,37.79,49,1826,450,1201,424,2.5,136700
-122.22,37.79,38,3049,711,2167,659,2.7969,141700
-122.2,37.79,29,1640,376,939,340,2.8321,150000
-122.21,37.79,47,1543,307,859,292,2.9583,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,139200
-122.21,37.79,35,1745,409,1143,386,2.875,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,156500
-122.21,37.8,39,2018,447,1221,446,3.0757,151000
-122.2,37.8,43,3045,499,1115,455,4.9559,273000
-122.2,37.8,52,1547,293,706,268,4.7721,217100
-122.21,37.8,52,3519,711,1883,706,3.4861,187100
-122.2,37.8,41,2070,354,804,340,5.1184,239600
-122.21,37.8,48,1321,263,506,252,4.0977,229700
-122.19,37.8,48,1694,259,610,238,4.744,257300
-122.19,37.8,46,1938,341,768,332,4.2727,246900
-122.19,37.79,50,968,195,462,184,2.9844,179900
-122.2,37.79,40,1060,256,667,235,4.1739,169600
-122.2,37.8,46,2041,405,1059,399,3.8487,203300
-122.19,37.8,52,1813,271,637,277,4.0114,263400
-122.19,37.79,45,2718,451,1106,454,4.6563,231800
-122.19,37.79,28,3144,761,1737,669,2.9297,140500
-122.2,37.79,35,1802,459,1009,390,2.3036,126000
-122.2,37.79,49,882,195,737,210,2.6667,122000
-122.2,37.79,44,1621,452,1354,491,2.619,134700
-122.21,37.79,45,2115,533,1530,474,2.4167,139400
-122.2,37.79,45,2021,528,1410,480,2.7788,115400
-122.21,37.78,46,2239,508,1390,569,2.7352,137300
-122.21,37.78,52,1477,300,1065,269,1.8472,137000
-122.21,37.78,52,1056,224,792,245,2.6583,142600
-122.21,37.78,49,898,244,779,245,3.0536,137500
-122.22,37.78,44,2968,710,2269,610,2.3906,111700
-122.21,37.78,43,1702,460,1227,407,1.7188,126800
-122.21,37.78,47,881,248,753,241,2.625,111300
-122.22,37.77,40,494,114,547,135,2.8015,114800
-122.22,37.78,50,1776,473,1807,440,1.7276,102300
-122.22,37.78,44,1678,514,1700,495,2.0801,131900
-122.22,37.78,51,1637,463,1543,393,2.489,119100
-122.21,37.76,52,1420,314,1085,300,1.7546,80600
-122.21,37.77,52,591,173,353,137,4.0904,80600
-122.21,37.77,52,745,153,473,149,2.6765,88800
-122.2,37.77,49,2272,498,1621,483,2.4338,102400
-122.21,37.77,46,1234,375,1183,354,2.3309,98700
-122.21,37.77,43,1017,328,836,277,2.2604,100000
-122.19,37.77,42,932,254,900,263,1.8039,92300
-122.2,37.77,39,2689,597,1888,537,2.2562,94800
-122.2,37.77,41,1547,415,1024,341,2.0562,102000
-122.2,37.78,52,2300,443,1225,423,3.5398,158400
-122.2,37.78,39,1752,399,1071,376,3.1167,121600
-122.2,37.78,50,1867,403,1128,378,2.5401,129100
-122.2,37.77,43,2430,502,1537,484,2.898,121400
-122.21,37.78,44,1729,414,1240,393,2.3125,102800
-122.19,37.78,52,1026,180,469,168,2.875,160000
-122.19,37.77,52,2170,428,1086,425,3.3715,143900
-122.19,37.77,52,2329,445,1144,417,3.5114,151200
-122.19,37.78,52,2492,415,1109,375,4.3125,164400
-122.19,37.78,52,2198,397,984,369,3.22,156500
-122.18,37.78,33,142,31,575,47,3.875,225000
-122.19,37.78,49,1183,205,496,209,5.2328,174200
-122.19,37.78,52,1070,193,555,190,3.7262,166900
-122.2,37.78,45,1766,332,869,327,4.5893,163500
-122.18,37.79,39,617,95,236,106,5.2578,253000
-122.18,37.79,41,1411,233,626,214,7.0875,240700
-122.18,37.79,46,2109,387,922,329,3.9712,208100
-122.19,37.79,47,1229,243,582,256,2.9514,198100
-122.19,37.79,50,954,217,546,201,2.6667,172800
-122.18,37.81,37,1643,262,620,266,5.4446,336700
-122.18,37.8,34,1355,195,442,195,6.2838,318200
-122.18,37.8,23,2317,336,955,328,6.7527,285800
-122.13,37.77,24,2459,317,916,324,7.0712,293000
-122.16,37.79,22,12842,2048,4985,1967,5.9849,371000
-122.17,37.78,42,1524,260,651,267,3.6875,157300
-122.17,37.77,30,3326,746,1704,703,2.875,135300
-122.18,37.78,43,1985,440,1085,407,3.4205,136700
-122.18,37.78,50,1642,322,713,284,3.2984,160700
-122.17,37.78,49,893,177,468,181,3.875,140600
-122.17,37.78,52,653,128,296,121,4.175,144000
-122.16,37.77,47,1256,,570,218,4.375,161900
-122.16,37.77,48,977,194,446,180,4.7708,156300
-122.16,37.77,45,2324,397,968,384,3.5739,176000
-122.16,37.77,39,1583,349,857,316,3.0958,145800
-122.17,37.77,39,1612,342,912,322,3.3958,141900
-122.17,37.77,31,2424,533,1360,452,1.871,90700
-122.17,37.76,41,1594,367,1074,355,1.9356,90600
-122.17,37.76,47,2118,413,965,382,2.1842,107900
-122.18,37.76,37,1575,358,933,320,2.2917,107000
-122.17,37.76,38,1764,397,987,354,2.4333,98200
-122.18,37.76,50,1187,261,907,246,1.9479,89500
-122.18,37.76,52,754,175,447,165,3.9063,93800
-122.18,37.76,49,2308,452,1299,451,1.8407,96700
-122.18,37.77,27,909,236,396,157,2.0786,97500
-122.18,37.77,42,1180,257,877,268,2.8125,97300
-122.18,37.76,43,2018,408,1111,367,1.8913,91200
-122.19,37.76,49,1368,282,790,269,1.7056,91400
-122.18,37.77,52,2744,547,1479,554,2.2768,96200
-122.18,37.77,51,2107,471,1173,438,3.2552,120100
-122.18,37.77,52,1748,362,1029,366,2.0556,100000
-122.19,37.76,52,2024,391,1030,350,2.4659,94700
-122.2,37.76,47,1116,259,826,279,1.75,85700
-122.19,37.77,41,2036,510,1412,454,2.0469,89300
-122.19,37.77,45,1852,393,1132,349,2.7159,101400
-122.19,37.76,41,921,207,522,159,1.2083,72500
-122.19,37.76,45,995,238,630,237,1.925,74100
-122.2,37.75,36,606,132,531,133,1.5809,70000
-122.2,37.76,37,2680,736,1925,667,1.4097,84600
-122.19,37.76,38,1493,370,1144,351,0.7683,81800
-122.19,37.75,19,2207,565,1481,520,1.3194,81400
-122.19,37.75,28,856,189,435,162,0.8012,81800
-122.19,37.76,26,1293,297,984,303,1.9479,85800
-122.19,37.74,36,847,212,567,159,1.1765,87100
-122.18,37.74,42,541,154,380,123,2.3456,83500
-122.19,37.73,44,1066,253,825,244,2.1538,79700
-122.19,37.74,43,707,147,417,155,2.5139,83400
-122.19,37.73,45,1528,291,801,287,1.2625,84700
-122.18,37.73,42,909,215,646,198,2.9063,80000
-122.18,37.73,43,1391,293,855,285,2.5192,76400
-122.18,37.73,44,548,119,435,136,2.1111,79700
-122.18,37.73,42,4074,874,2736,780,2.455,82400
-122.17,37.74,41,1613,445,1481,414,2.4028,97700
-122.17,37.74,47,463,134,327,137,2.15,97200
-122.17,37.74,43,818,193,494,179,2.4776,101600
-122.17,37.73,43,1473,371,1231,341,2.1587,86500
-122.18,37.74,35,504,126,323,109,1.8438,90500
-122.17,37.74,46,1026,226,749,225,3.0298,107600
-122.17,37.74,46,769,183,693,178,2.25,84200
-122.18,37.74,46,2103,391,1339,354,2.2467,88900
-122.18,37.75,45,330,76,282,80,4.0469,80700
-122.18,37.75,46,941,218,621,195,1.325,87100
-122.17,37.75,38,992,,732,259,1.6196,85100
-122.18,37.75,45,990,261,901,260,2.1731,82000
-122.19,37.75,36,1126,263,482,150,1.9167,82800
-122.18,37.75,43,1036,233,652,213,2.069,84600
-122.18,37.75,36,1047,214,651,166,1.712,82100
-122.17,37.76,33,1280,307,999,286,2.5625,89300
-122.17,37.75,43,1587,320,907,306,1.9821,98300
-122.17,37.75,41,1257,271,828,230,2.5043,92300
-122.17,37.75,44,1218,248,763,254,2.3281,88800
-122.17,37.75,48,1751,390,935,349,1.4375,90000
-122.16,37.76,45,2299,514,1437,484,2.5122,95500
-122.16,37.75,38,2457,624,1516,482,1.5625,91700
-122.17,37.75,47,998,211,597,185,3.1587,100400
-122.17,37.76,40,1685,343,949,342,1.8426,94800
-122.16,37.76,46,1827,307,881,302,4.6696,164300
-122.16,37.76,36,2781,574,1438,519,2.4598,155500
-122.15,37.76,39,1823,286,763,270,6.0749,196900
-122.14,37.77,27,2229,365,1297,355,4.8304,279100
-122.14,37.76,34,1513,231,545,211,5.5701,252800
-122.13,37.76,26,3266,491,1222,533,5.37,275400
-122.12,37.75,33,1809,261,808,219,6.86,250000
-122.12,37.75,28,794,111,329,109,7.6923,329800
-122.14,37.75,36,690,105,299,109,4.0313,195500
-122.14,37.75,33,1334,200,579,202,6.8323,255900
-122.13,37.75,30,414,54,137,50,4.975,311100
-122.13,37.75,36,768,93,229,93,5.3602,330000
-122.13,37.74,41,4400,666,1476,648,5,248900
-122.16,37.75,46,954,161,429,154,2.925,142900
-122.15,37.75,40,1445,256,849,255,3.8913,126300
-122.15,37.75,44,1938,399,946,331,3.225,135800
-122.15,37.74,41,856,178,571,191,3.1458,130600
-122.16,37.75,24,1790,454,1137,386,2.537,107900
-122.16,37.75,44,617,131,378,135,2.5568,111100
-122.15,37.74,43,1383,275,853,272,3.5083,122000
-122.15,37.74,49,1325,277,764,282,3.3125,118000
-122.16,37.75,40,1227,294,928,261,1.8235,95200
-122.16,37.75,35,667,140,406,133,3.8047,94300
-122.17,37.74,34,1223,281,824,280,2.2917,92500
-122.17,37.75,37,1379,287,835,259,2.4962,91800
-122.16,37.74,43,1534,300,826,295,4.0417,109400
-122.16,37.74,46,1029,181,567,211,3.4844,129500
-122.16,37.74,52,771,147,355,144,4.1458,143400
-122.16,37.74,47,824,223,533,166,2.625,98200
-122.16,37.74,44,1097,239,609,215,2.0227,103100
-122.29,37.9,49,1283,238,576,236,3.3333,276800
-122.29,37.9,52,1604,263,594,286,5.338,270900
-122.29,37.89,52,2248,422,870,377,3.4732,246200
-122.3,37.9,38,2263,522,1027,509,3.5125,224200
-122.29,37.89,52,1571,349,693,326,3.1375,229100
-122.3,37.89,46,1520,402,815,375,2.8036,211600
-122.3,37.9,15,5083,1212,2420,1146,4.5824,256100
-122.3,37.89,36,1077,293,518,276,3.0208,206300
-122.3,37.89,52,1248,283,620,275,4.0875,221300
-122.33,37.89,42,1342,291,551,266,4.5268,207400
-122.34,37.88,37,3061,930,2556,924,1.7375,350000
-122.29,37.89,52,3171,698,1498,696,3.1795,218200
-122.29,37.88,50,1211,261,523,227,3.8672,216700
-122.29,37.89,52,979,175,374,153,5.1675,270600
-122.29,37.89,52,2269,380,1004,371,5.1696,261400
